GeographyKey,GeographyType,ContinentName,CityName,StateProvinceName,RegionCountryName
620,City,North America,Corvallis,Oregon,United States
621,City,Europe,Courbevoie,Hauts de Seine,France
622,City,Europe,Croix,Nord,France
623,City,Europe,Dresden,Saxony,Germany
624,City,Europe,Dunkerque,Nord,France
625,City,North America,El Cajon,California,United States
626,City,Europe,Erlangen,Bavaria,Germany
627,City,North America,Everett,Washington,United States
628,City,Asia,Findon,South Australia,Australia
629,City,Europe,Frankfurt,Bavaria,Germany
631,City,North America,Fremont,California,United States
632,City,Asia,Geelong,Victoria,Australia
633,City,North America,Glendale,California,United States
634,City,Asia,Goulburn,New South Wales,Australia
635,City,Europe,Grevenbroich,North Rhine-Westphalia,Germany
637,City,Asia,Hawthorne,Queensland,Australia
638,City,Europe,High Wycombe,England,United Kingdom
639,City,Europe,Hof,Bavaria,Germany
640,City,Europe,Ingolstadt,Bavaria,Germany
641,City,Europe,Kassel,Hesse,Germany
642,City,North America,Kirkland,Washington,United States
643,City,North America,La Jolla,California,United States
644,City,North America,Lake Oswego,Oregon,United States
645,City,North America,Lakewood,California,United States
646,City,Asia,Lane Cove,New South Wales,Australia
647,City,North America,Langford,British Columbia,Canada
648,City,Asia,Lavender Bay,New South Wales,Australia
649,City,Europe,Leipzig,Saxony,Germany
650,City,Europe,Lille,Nord,France
651,City,Europe,Liverpool,England,United Kingdom
652,City,North America,Long Beach,California,United States
653,City,North America,Los Angeles,California,United States
654,City,Europe,Maidenhead,England,United Kingdom
655,City,Asia,Malabar,New South Wales,Australia
656,City,Asia,Melbourne,Victoria,Australia
657,City,Europe,Metz,Moselle,France
658,City,North America,Mill Valley,California,United States
659,City,Europe,Milton Keynes,England,United Kingdom
660,City,North America,Milwaukie,Oregon,United States
661,City,Europe,Morangis,Essonne,France
662,City,Europe,Hamburg,Hamburg,Germany
664,City,Europe,Mönchengladbach,North Rhine-Westphalia,Germany
665,City,North America,N. Vancouver,British Columbia,Canada
666,City,Europe,Newcastle upon Tyne,England,United Kingdom
667,City,North America,Newport Beach,California,United States
668,City,North America,Newton,British Columbia,Canada
669,City,Asia,North Sydney,New South Wales,Australia
670,City,North America,Novato,California,United States
671,City,North America,Oak Bay,British Columbia,Canada
672,City,Europe,Orleans,Loiret,France
673,City,Europe,Oxon,England,United Kingdom
674,City,Europe,Paderborn,North Rhine-Westphalia,Germany
675,City,North America,Port Hammond,British Columbia,Canada
676,City,Europe,Reading,England,United Kingdom
677,City,North America,Redmond,Washington,United States
678,City,North America,Renton,Washington,United States
679,City,Asia,Rhodes,New South Wales,Australia
680,City,Asia,Rockhampton,Queensland,Australia
681,City,Europe,Roissy en Brie,Seine et Marne,France
682,City,North America,Royal Oak,British Columbia,Canada
683,City,Europe,Saarbrücken,Saar,Germany
684,City,Europe,Saint Ouen,Charente-Maritime,France
685,City,Europe,Saint Ouen,Loir et Cher,France
686,City,North America,Salem,Oregon,United States
687,City,Europe,Salzgitter,Lower Saxony,Germany
688,City,North America,San Diego,California,United States
689,City,North America,San Francisco,California,United States
690,City,North America,San Gabriel,California,United States
691,City,North America,Santa Cruz,California,United States
692,City,Asia,Seaford,Victoria,Australia
693,City,North America,Seattle,Washington,United States
694,City,North America,Sedro Woolley,Washington,United States
695,City,North America,Shawnee,British Columbia,Canada
696,City,Europe,Solingen,North Rhine-Westphalia,Germany
697,City,Asia,South Melbourne,Victoria,Australia
698,City,Europe,Stoke-on-Trent,England,United Kingdom
699,City,Asia,Sunbury,Victoria,Australia
700,City,Europe,Tremblay-en-France,Seine Saint Denis,France
701,City,North America,Victoria,British Columbia,Canada
702,City,Europe,Villeneuve-d'Ascq,Nord,France
703,City,North America,W. Linn,Oregon,United States
704,City,Europe,Watford,England,United Kingdom
705,City,Europe,West Sussex,England,United Kingdom
706,City,Asia,Wollongong,New South Wales,Australia
707,City,North America,Woodland Hills,California,United States
708,City,Asia,Ashgabat,Ahal Province,Turkmenistan
709,City,Asia,Bangkok,Krung Thep,Thailand
710,City,Asia,Beijing,Beijing,China
711,City,Asia,Bishkek,Chuy Province,Kyrgyzstan
712,City,Asia,Busan,Yeongnam,South Korea
713,City,Asia,Canberra,Molonglo,Australia
714,City,Asia,Damascus,Damascus,Syria
715,City,Asia,Guangzhou,GuangDong,China
716,City,Asia,Hong Kong,Hong Kong,China
717,City,Asia,Islamabad,Islamabad Capital Territory,Pakistan
718,City,Asia,Kolkata,West Bengal,India
719,City,Asia,Kyoto,Kansai,Japan
720,City,Asia,Miyagi,Tohoku,Japan
721,City,Asia,Mumbai,Maharashtra,India
722,City,Asia,Nagoya,Chubu,Japan
723,City,Asia,New Delhi,National Capital Territory of Delhi,India
724,City,Asia,Osaka,Kansai,Japan
725,City,Asia,Sapporo,Hokkaido,Japan
726,City,Asia,Seoul,Seoul-jikhalsi,South Korea
727,City,Asia,Shanghai,Shanghai,China
728,City,Asia,Singapore,Singapore,Singapore
729,City,Asia,Taipei,Taiwan,Taiwan
730,City,Asia,Tehran,Tehran,Iran
731,City,Asia,Thimphu,Thimphu District,Bhutan
732,City,Asia,Tokyo,Kanto,Japan
733,City,Asia,Urumqi,Xinjiang,China
734,City,Asia,Yerevan,Armenia,Armenia
735,City,Asia,Yokohama,Kanto,Japan
736,City,Europe,Amsterdam,Noord-Holland,the Netherlands
737,City,Europe,Athens,Central Greece and Evvoia,Greece
738,City,Europe,Baildon,England,United Kingdom
739,City,Europe,Baumholder,Rhineland-Palatinate,Germany
740,City,Europe,Berne,Bern,Switzerland
741,City,Europe,Bucharest,Bucuresti,Romania
742,City,Europe,Carlisle,England,United Kingdom
743,City,Europe,Cheshire,England,United Kingdom
745,City,Europe,Copenhagen,Staden Kobenhavn,Denmark
746,City,Europe,Dublin,Leinster,Ireland
747,City,Europe,Dusseldorf,North Rhine-Westphalia,Germany
748,City,Europe,Edinburgh,Scotland,United Kingdom
749,City,Europe,Firenze,Province of Florence,Italy
750,City,Europe,Giebelstadt,Bavaria,Germany
751,City,Europe,Glasgow,Scotland,United Kingdom
752,City,Europe,Hofheim am Taunus,Hesse,Germany
753,City,Europe,Knotty Ash,England,United Kingdom
754,City,Europe,Koln,North Rhine-Westphalia,Germany
755,City,Europe,Lancashire,England,United Kingdom
756,City,Europe,Landstuhl,Rhineland-Palatinate,Germany
757,City,Europe,Lisbon,Lisboa Region,Portugal
758,City,Europe,Ljubljana,Ljubljana,Slovenia
759,City,Europe,Lyon,Rhone-Alpes,France
760,City,Europe,Madrid,Madrid,Spain
761,City,Europe,Manchester,England,United Kingdom
762,City,Europe,Marseille,Provence-Alpes-Cote d'Azur,France
763,City,Europe,Milan,Lombardia,Italy
764,City,Europe,Moscow,Moskovskaya oblast,Russia
765,City,Europe,Munich,Bavaria,Germany
766,City,Europe,Nantes,Pays de la Loire,France
767,City,Europe,Nice,Alpes-Maritimes,France
768,City,Europe,Nizhny Novgorod,Nizhny Novgorod Oblast,Russia
769,City,Europe,Bamberg,Bavaria,Germany
770,City,Europe,Ramstein,Rhineland-Palatinate,Germany
771,City,Europe,Roma,Roma,Italy
772,City,Europe,Saint Petersburg,Northwestern,Russia
773,City,Europe,Stockholm,Stockholms,Sweden
774,City,Europe,Stockport,England,United Kingdom
775,City,Europe,Strasbourg,Bas-Rhin,France
776,City,Europe,Torino,Province of Turin,Italy
777,City,Europe,Toulouse,Midi-Pyrenees,France
778,City,Europe,Valletta,Valletta,Malta
779,City,Europe,Venezia,Venice,Italy
780,City,Europe,Warsaw,Warszawa,Poland
781,City,Europe,West Yorkshire,England,United Kingdom
782,City,North America,Albany,New York,United States
783,City,North America,Alexandria,Virginia,United States
784,City,North America,Anchorage,Alaska,United States
785,City,North America,Annapolis,Maryland,United States
786,City,North America,Appleton,Wisconsin,United States
787,City,North America,Arlington,Texas,United States
788,City,North America,Atlantic City,New Jersey,United States
789,City,North America,Attleboro,Massachusetts,United States
790,City,North America,Aurora,Colorado,United States
791,City,North America,Austin,Texas,United States
792,City,North America,Back River,Maryland,United States
793,City,North America,Bacliff,Texas,United States
794,City,North America,Baltimore,Maryland,United States
795,City,North America,Bangor,Maine,United States
796,City,North America,Bar Harbor,Maine,United States
797,City,North America,Bayonne,New Jersey,United States
798,City,North America,Beaumont,Texas,United States
799,City,North America,Berthoud,Colorado,United States
800,City,North America,Bethesda,Maryland,United States
801,City,North America,Bridgeport,Connecticut,United States
802,City,North America,Boston,Massachusetts,United States
803,City,North America,Boulder,Colorado,United States
804,City,North America,Brooklyn,New York,United States
805,City,North America,Buffalo,New York,United States
806,City,North America,Burlington,Wisconsin,United States
807,City,North America,Cape Canaveral,Florida,United States
808,City,North America,Cape May,New Jersey,United States
809,City,North America,Castle Rock,Colorado,United States
810,City,North America,Charleston,South Carolina,United States
811,City,North America,Charlottesville,Virginia,United States
812,City,North America,Cheney,Washington,United States
813,City,North America,Cle Elum,Washington,United States
814,City,North America,Clifton,New Jersey,United States
815,City,North America,Dallas,Texas,United States
816,City,North America,Darien,Connecticut,United States
817,City,North America,Denton,Texas,United States
818,City,North America,Denver,Colorado,United States
819,City,North America,Desoto,Texas,United States
820,City,North America,East Orange,New Jersey,United States
821,City,North America,East Troy,Wisconsin,United States
822,City,North America,Edgerton,Wisconsin,United States
823,City,North America,Elmira,New York,United States
824,City,North America,Englewood,Colorado,United States
825,City,North America,Fall City,Washington,United States
826,City,North America,Falmouth,Massachusetts,United States
827,City,North America,Fond du Lac,Wisconsin,United States
828,City,North America,Fort Atkinson,Wisconsin,United States
829,City,North America,Fort Collins,Colorado,United States
830,City,North America,Fort Lauderdale,Florida,United States
831,City,North America,Fort Worth,Texas,United States
832,City,North America,Framingham,Massachusetts,United States
833,City,North America,Fredericksburg,Virginia,United States
834,City,North America,Georgetown,Texas,United States
835,City,North America,Germantown,Maryland,United States
836,City,North America,Grand Junction,Colorado,United States
837,City,North America,Grand Prairie,Texas,United States
838,City,North America,Granger,Washington,United States
839,City,North America,Greeley,Colorado,United States
840,City,North America,Green Bay,Wisconsin,United States
841,City,North America,Greenville,South Carolina,United States
842,City,North America,Hackensack,New Jersey,United States
843,City,North America,Hartford,Connecticut,United States
844,City,North America,Haverhill,Massachusetts,United States
845,City,North America,Hillsboro,Texas,United States
846,City,North America,Hingham,Massachusetts,United States
847,City,North America,Hoboken,New Jersey,United States
848,City,North America,Holyoke,Massachusetts,United States
849,City,North America,Houston,Texas,United States
850,City,North America,Howard,Maryland,United States
851,City,North America,Humble,Texas,United States
852,City,North America,Ithaca,New York,United States
853,City,North America,Jacksonville,Florida,United States
854,City,North America,Jersey City,New Jersey,United States
855,City,North America,Kennebunkport,Maine,United States
856,City,North America,Kennewick,Washington,United States
857,City,North America,Key West,Florida,United States
858,City,North America,La Porte,Texas,United States
859,City,North America,Lafayette,Colorado,United States
860,City,North America,Lakeland,Florida,United States
861,City,North America,Leominster,Massachusetts,United States
862,City,North America,Lewiston,Maine,United States
863,City,North America,Lewisville,Texas,United States
864,City,North America,Litchfield County,Connecticut,United States
865,City,North America,Littleton,Colorado,United States
866,City,North America,Longview,Texas,United States
867,City,North America,Loveland,Colorado,United States
868,City,North America,Lowell,Massachusetts,United States
869,City,North America,Lynn,Massachusetts,United States
870,City,North America,Madison,Wisconsin,United States
871,City,North America,Manitowoc,Wisconsin,United States
872,City,North America,Marshall,Texas,United States
873,City,North America,Martinsville,Virginia,United States
874,City,North America,Menasha,Wisconsin,United States
875,City,North America,Miami,Florida,United States
876,City,North America,Midland,Texas,United States
877,City,North America,Milliken,Colorado,United States
878,City,North America,Milwaukee,Wisconsin,United States
879,City,North America,Minden,Texas,United States
880,City,North America,Montclair,New Jersey,United States
881,City,North America,Montreal,Quebec,Canada
882,City,North America,Morristown,New Jersey,United States
883,City,North America,Nantucket,Massachusetts,United States
884,City,North America,Naples,Florida,United States
885,City,North America,New Bedford,Massachusetts,United States
886,City,North America,New Brunswick,New Jersey,United States
887,City,North America,New Castle,Colorado,United States
888,City,North America,New Haven,Connecticut,United States
889,City,North America,New London,Connecticut,United States
890,City,North America,New York,New York,United States
891,City,North America,Newark,New Jersey,United States
892,City,North America,Norfolk,Virginia,United States
893,City,North America,North Bend,Washington,United States
894,City,North America,North Harford,Maryland,United States
895,City,North America,Northampton,Massachusetts,United States
896,City,North America,Old Saybrook,Connecticut,United States
897,City,North America,Orange,Texas,United States
898,City,North America,Oregon,Wisconsin,United States
899,City,North America,Orlando,Florida,United States
900,City,North America,Orono,Maine,United States
901,City,North America,Oshkosh,Wisconsin,United States
902,City,North America,Oswego,New York,United States
903,City,North America,Ottawa,Ontario,Canada
904,City,North America,Parker,Colorado,United States
905,City,North America,Parkville,Maryland,United States
906,City,North America,Pasadena,Texas,United States
907,City,North America,Passaic,New Jersey,United States
908,City,North America,Paterson,New Jersey,United States
909,City,North America,Pittsfield,Massachusetts,United States
910,City,North America,Plano,Texas,United States
911,City,North America,Plattsburgh,New York,United States
912,City,North America,Poestenkill,New York,United States
913,City,North America,Port Washington,Wisconsin,United States
914,City,North America,Provincetown,Massachusetts,United States
915,City,North America,Queen Anne's County,Maryland,United States
916,City,North America,Queens,New York,United States
917,City,North America,Quincy,Massachusetts,United States
918,City,North America,Racine,Wisconsin,United States
919,City,North America,Richardson,Texas,United States
920,City,North America,Ridgely,Maryland,United States
921,City,North America,Roanoke,Virginia,United States
922,City,North America,Rochester,New York,United States
923,City,North America,Round Rock,Texas,United States
924,City,North America,Russellville,Texas,United States
925,City,North America,San Antonio,Texas,United States
926,City,North America,Sebring,Florida,United States
927,City,North America,Sedalia,Colorado,United States
928,City,North America,Sheboygan,Wisconsin,United States
929,City,North America,Shreveport,Texas,United States
930,City,North America,Snoqualmie,Washington,United States
931,City,North America,Somerville,Massachusetts,United States
932,City,North America,South Portland,Maine,United States
933,City,North America,Spring,Texas,United States
934,City,North America,Stoughton,Wisconsin,United States
935,City,North America,Sunnyside,Washington,United States
936,City,North America,Syracuse,New York,United States
937,City,North America,Tallahassee,Florida,United States
938,City,North America,Tampa,Florida,United States
939,City,North America,Texas City,Texas,United States
940,City,North America,Thornton,Colorado,United States
941,City,North America,Toppenish,Washington,United States
942,City,North America,Toronto,Ontario,Canada
943,City,North America,Trenton,New Jersey,United States
944,City,North America,Veradale,Washington,United States
945,City,North America,Vineland,New Jersey,United States
946,City,North America,Virginia Beach,Virginia,United States
947,City,North America,Wapato,Washington,United States
948,City,North America,Waterbury,Connecticut,United States
949,City,North America,Waukesha,Wisconsin,United States
950,City,North America,Wheat Ridge,Colorado,United States
951,City,North America,Winchester,Virginia,United States
952,City,North America,Worcester,Massachusetts,United States
